model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4o,71.34,69.52,73.56,"(-1.82, +2.22)",301.0,2024-09-18
gemini-1.5-pro-exp-0827,71.33,69.46,73.61,"(-1.87, +2.28)",356.0,2024-09-18
gemini-1.5-flash-exp-0827,62.96,60.86,65.01,"(-2.10, +2.05)",378.0,2024-09-18
claude-3-5-sonnet-20240620,58.83,56.04,61.39,"(-2.79, +2.56)",262.0,2024-09-18
gemini-1.5-pro-001,55.02,53.1,57.6,"(-1.92, +2.58)",265.0,2024-09-18
gpt-4-turbo,50.0,50.0,50.0,"(-0.00, +0.00)",265.0,2024-09-18
gpt-4o-mini,40.72,39.03,42.94,"(-1.69, +2.22)",227.0,2024-09-18
gemini-1.5-flash-8b-exp-0827,31.48,29.38,33.85,"(-2.10, +2.37)",309.0,2024-09-18
gemini-1.5-flash-001,26.65,24.67,28.4,"(-1.98, +1.75)",208.0,2024-09-18
llava-onevision-qwen2-72b-ov,25.15,23.48,26.66,"(-1.67, +1.51)",284.0,2024-09-18
internvl2-26b,24.19,22.34,25.91,"(-1.85, +1.72)",470.0,2024-09-18
claude-3-opus-20240229,21.35,19.66,23.18,"(-1.69, +1.83)",200.0,2024-09-18
claude-3-sonnet-20240229,17.77,16.1,19.22,"(-1.67, +1.45)",199.0,2024-09-18
reka-flash-preview-20240611,16.19,14.86,17.53,"(-1.33, +1.34)",354.0,2024-09-18
reka-core-20240501,15.38,13.99,16.96,"(-1.39, +1.58)",214.0,2024-09-18
claude-3-haiku-20240307,10.61,9.31,11.86,"(-1.30, +1.25)",157.0,2024-09-18
internvl2-4b,5.63,4.94,6.31,"(-0.69, +0.68)",642.0,2024-09-18
