model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4o,72.91,71.19,75.09,"(-1.72, +2.18)",252.0,2024-09-21
gemini-1.5-pro-exp-0827,72.16,70.37,73.99,"(-1.79, +1.83)",301.0,2024-09-21
gemini-1.5-flash-exp-0827,64.95,63.09,67.11,"(-1.86, +2.16)",310.0,2024-09-21
claude-3-5-sonnet-20240620,57.81,55.77,59.81,"(-2.04, +2.00)",221.0,2024-09-21
gemini-1.5-pro-001,57.72,55.68,59.56,"(-2.04, +1.84)",225.0,2024-09-21
gpt-4-turbo,50.0,50.0,50.0,"(-0.00, +0.00)",217.0,2024-09-21
gpt-4o-mini,42.2,39.87,44.15,"(-2.33, +1.95)",189.0,2024-09-21
gemini-1.5-flash-8b-exp-0827,32.41,30.41,34.08,"(-2.00, +1.67)",339.0,2024-09-21
internvl2-26b,30.17,27.93,32.11,"(-2.24, +1.94)",447.0,2024-09-21
gemini-1.5-flash-001,27.08,25.24,28.64,"(-1.84, +1.56)",243.0,2024-09-21
claude-3-opus-20240229,22.23,20.5,23.98,"(-1.73, +1.75)",169.0,2024-09-21
reka-core-20240501,20.3,19.2,22.32,"(-1.10, +2.02)",199.0,2024-09-21
claude-3-sonnet-20240229,19.15,17.61,20.66,"(-1.54, +1.51)",165.0,2024-09-21
reka-flash-preview-20240611,15.56,14.28,16.8,"(-1.28, +1.24)",315.0,2024-09-21
claude-3-haiku-20240307,11.4,9.96,12.66,"(-1.44, +1.26)",129.0,2024-09-21
internvl2-4b,11.25,10.18,12.33,"(-1.07, +1.08)",403.0,2024-09-21
